City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nemuro,43.3236,145.575,6.95,76,15,5.0,JP,1683865613
1,obu,35.0,136.9667,23.96,36,100,3.79,JP,1683865386
2,crane,31.3974,-102.3501,24.21,12,1,1.6,US,1683865614
3,blackmans bay,-43.0167,147.3167,16.07,52,74,2.02,AU,1683865614
4,west island,-12.1568,96.8225,29.99,74,40,5.66,CC,1683865614
5,keflavik,64.0049,-22.5624,6.95,100,75,5.14,IS,1683865615
6,enewetak,11.3474,162.3373,27.88,81,90,7.13,MH,1683865346
7,edinburgh of the seven seas,-37.0676,-12.3116,17.16,87,94,12.53,SH,1683865615
8,lompoc,34.6391,-120.4579,13.11,90,0,6.17,US,1683865616
9,mikhaylov,54.2292,39.0186,9.54,84,36,3.0,RU,1683865616
10,natchitoches,31.7668,-93.1335,25.47,94,100,3.6,US,1683865617
11,beloyarskiy,63.7119,66.6722,3.79,61,99,2.71,RU,1683865617
12,okoneshnikovo,54.8377,75.0834,9.35,50,5,4.83,RU,1683865617
13,puerto ayora,-0.7393,-90.3518,25.31,98,44,4.47,EC,1683865618
14,bonthe,7.5264,-12.505,26.47,84,67,1.94,SL,1683865618
15,papatowai,-46.5619,169.4708,11.24,90,100,4.24,NZ,1683865618
16,tual,-5.6667,132.75,26.1,88,100,6.74,ID,1683865619
17,aswan,24.0934,32.907,27.27,22,0,7.24,EG,1683865619
18,avarua,-21.2078,-159.775,26.03,73,75,6.17,CK,1683865355
19,thompson,55.7435,-97.8558,12.09,50,20,4.12,CA,1683865620
20,port-aux-francais,-49.35,70.2167,8.09,92,100,21.14,TF,1683865620
21,hithadhoo,-0.6,73.0833,28.62,75,100,7.37,MV,1683865621
22,iqaluit,63.7506,-68.5145,-9.15,92,20,2.57,CA,1683865621
23,nakhabino,55.8514,37.1814,11.05,66,0,2.0,RU,1683865622
24,saudarkrokur,65.7461,-19.6394,8.95,79,100,7.72,IS,1683865623
25,albany,42.6001,-73.9662,16.23,70,74,0.45,US,1683865389
